0.36842105	-0.5789474	0.26315789	-0.5789474	-0.5789474	-0.8947368	-0.7894737
0.05263158	-0.7894737	-0.1578947	0.26315789	-1	0.57894737	-0.4736842
-0.6842105	0.26315789	1	-0.6842105	-0.1578947	-0.0526316	0.47368421
-0.3684211	-0.8947368	-0.7894737	0.15789474	0.68421053	-0.5789474	-0.3684211
0.26315789	0.78947368	0.05263158	-0.8947368	0.47368421	-1	-0.1578947
1	-0.0526316	-0.0526316	1	-0.8947368	0.05263158	0.57894737
-0.8947368	-0.4736842	0.47368421	0.78947368	-0.0526316	-0.2631579	0.15789474
0.15789474	-0.6842105	-1	0.89473684	0.36842105	0.26315789	1
-0.1578947	0.47368421	-0.5789474	0.68421053	-0.3684211	-0.4736842	-0.5789474
-0.0526316	-0.2631579	-0.3684211	-0.1578947	-0.4736842	-0.7894737	0.89473684
-0.7894737	0.57894737	-0.4736842	0.05263158	1	-0.1578947	0.36842105
-0.4736842	0.36842105	-0.6842105	-0.2631579	-0.6842105	0.89473684	0.68421053
0.89473684	-0.3684211	-0.8947368	-0.4736842	0.15789474	0.47368421	0.26315789
0.47368421	1	0.15789474	-0.0526316	0.78947368	1	0.78947368
0.78947368	0.15789474	0.57894737	-1	-0.2631579	0.78947368	-0.6842105
-0.5789474	0.68421053	0.89473684	0.47368421	0.26315789	0.15789474	-1
-0.2631579	-1	0.36842105	-0.3684211	0.57894737	0.68421053	0.05263158
0.68421053	0.89473684	0.78947368	0.36842105	-0.7894737	-0.6842105	-0.2631579
0.57894737	-0.1578947	0.68421053	0.57894737	0.89473684	-0.3684211	-0.0526316
-1	0.05263158	-0.2631579	-0.7894737	0.05263158	0.36842105	-0.8947368
